system@FIX9P.WORLD> /

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
VBS_TOOLS                           500.00       95.00      404.94   80.99                     
FX_INDX                              50.00       10.00       39.94   79.88                     
P_ACTREP_MAX                       3000.00      600.00     2300.00   76.67                     
VBS_DATA_P69                        100.00       24.00       75.94   75.94                     
PI_ACTREPI_105                     3000.00      749.00     2250.94   75.03                     
PI_ACTREPI_108                     3000.00      749.00     2250.94   75.03                     
PI_ACTREPI_109                     3000.00      749.00     2250.94   75.03                     
PI_ACTREPI_110                     3000.00      749.00     2250.94   75.03                     
PI_ACTREPI_106                     3000.00      749.00     2250.94   75.03                     
PI_ACTREPI_107                     3000.00      749.00     2250.94   75.03                     
ACTIVITY_REP_DEFAULT                100.00         .00       75.00   75.00                     
VBS_LINE_P73                        150.00       38.00      111.94   74.63                     
VBS_DATA_P70                        100.00       27.00       72.94   72.94                     
OWB_REPO                           1000.00      272.25      727.63   72.76                     
TOOLS                              8050.00     2203.00     5846.88   72.63                     
VBS_LINE_P72                        150.00       42.00      107.94   71.96                     
VBS_LINE_P75                        150.00       44.00      105.94   70.63                     
VBS_INDX_P81                        300.00       91.00      208.94   69.65                     
VBS_LINE_P77                        150.00       46.00      103.94   69.29                     
VBS_LINE_P78                        150.00       46.00      103.94   69.29                     
PI_ACTREPI_102                     2000.00      628.00     1371.94   68.60                     
VBS_INDX_P82                        300.00       96.00      203.94   67.98                     
PI_ACTREPI_103                     2000.00      644.00     1355.94   67.80                     
VBS_INDX_P80                        300.00       97.00      202.94   67.65                     
P_STG_SUP_EST_80                    500.00      163.00      336.94   67.39                     
P_STG_SUP_EST_81                    500.00      163.00      336.94   67.39                     
P_STG_SUP_EST_78                    500.00      164.00      335.94   67.19                     
P_STG_SUP_EST_79                    500.00      164.00      335.94   67.19                     
FIX_MEND_BACKUP                   10000.00     3322.00     6677.88   66.78                     
VBS_DATA_P75                        150.00       50.00       99.94   66.63                     
VBS_LINE_P76                        150.00       50.00       99.94   66.63                     
PI_ACTREPI_104                     2000.00      676.00     1323.94   66.20                     
VBS_DATA_P76                        150.00       51.00       98.94   65.96                     
P_STG_SUP_EST_82                    500.00      171.00      328.94   65.79                     
P_STG_SUP_EST_84                    500.00      171.00      328.94   65.79                     
P_STG_SUP_EST_83                    500.00      172.00      327.94   65.59                     
VBS_DATA_P77                        150.00       52.00       97.94   65.29                     
VBS_INDX_P79                        300.00      105.00      194.94   64.98                     
VBS_INDX_P83                        300.00      106.00      193.94   64.65                     
VBS_DATA_P78                        150.00       54.00       95.94   63.96                     
VBS_DATA_P72                        150.00       55.00       94.94   63.29                     
VBS_DATA_P73                        150.00       57.00       92.94   61.96                     
P_STG_SUP_EST_73                    380.00      154.00      225.94   59.46                     
P_OPFACT_87                        3000.00     1217.00     1782.94   59.43                     
VBS_DATA_P71                        150.00       61.00       88.94   59.29                     
SALSA_WH_MV                       13500.00     5523.00     7976.88   59.09                     
VBS_DATA_P74                        150.00       62.00       87.94   58.63                     
P_STG_SUP_EST_75                    380.00      163.00      216.94   57.09                     
PLDATA_001                          600.00      261.25      338.69   56.45                     
PI_OPFACT_83                       2000.00      875.00     1124.94   56.25                     
P_OPFACT_78                        3000.00     1345.00     1654.94   55.16                     
P_OPFACT_80                        3000.00     1345.00     1654.94   55.16                     
P_OPFACT_83                        3000.00     1345.00     1654.94   55.16                     
P_OPFACT_84                        3000.00     1345.00     1654.94   55.16                     
P_OPFACT_86                        3000.00     1345.00     1654.94   55.16                     
P_WH_SUP_EST_73                     285.00      128.00      156.88   55.04                     
P_STG_SUP_EST_69                    320.00      145.00      174.94   54.67                     
P_WH_SUP_EST_78                     300.00      136.00      163.94   54.65                     
P_WH_SUP_EST_79                     300.00      136.00      163.94   54.65                     
P_WH_SUP_EST_80                     300.00      136.00      163.94   54.65                     
P_WH_SUP_EST_81                     300.00      136.00      163.94   54.65                     
PI_OPFACT_87                       2000.00      910.00     1089.94   54.50                     
PI_OPFACT_80                       2000.00      923.00     1076.94   53.85                     
PI_OPFACT_79                       2000.00      927.00     1072.94   53.65                     

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
Tablespace Name                    (in MB)     (in MB)     (in MB)   Space                     
------------------------------ ----------- ----------- ----------- -------                     
PI_OPFACT_81                       2000.00      931.00     1068.94   53.45                     
PI_OPFACT_84                       2000.00      931.00     1068.94   53.45                     
PI_OPFACT_78                       2000.00      935.00     1064.94   53.25                     
P_OPFACT_79                        3000.00     1409.00     1590.94   53.03                     
P_OPFACT_81                        3000.00     1409.00     1590.94   53.03                     
PI_OPFACT_86                       2000.00      949.00     1050.94   52.55                     
P_WH_SUP_EST_82                     300.00      144.00      155.94   51.98                     
P_WH_SUP_EST_83                     300.00      144.00      155.94   51.98                     
P_WH_SUP_EST_85                     300.00      144.00      155.94   51.98                     
P_WH_SUP_EST_86                     300.00      144.00      155.94   51.98                     
P_WH_SUP_EST_84                     300.00      144.00      155.94   51.98                     
VBS_LINE_P71                        150.00       72.00       77.94   51.96                     
PI_OPFACT_82                       2000.00      963.00     1036.94   51.85                     
PI_OPFACT_85                       2000.00      963.00     1036.94   51.85                     
P_OPFACT_82                        3000.00     1473.00     1526.94   50.90                     
P_OPFACT_85                        3000.00     1473.00     1526.94   50.90                     
SALSA_DIM_INDEX                     200.00         .00      100.00   50.00                     
SALSA_WH_IDX                        350.00      176.00      173.94   49.70                     
P_STG_SUP_EST_88                     10.00        5.00        4.94   49.38                     
P_STG_SUP_EST_89                     10.00        5.00        4.94   49.38                     
P_STG_SUP_EST_90                     10.00        5.00        4.94   49.38                     
P_STG_SUP_EST_76                    320.00      163.00      156.94   49.04                     
P_STG_SUP_EST_70                    280.00      145.00      134.94   48.19                     
P_STG_SUP_EST_71                    290.00      153.00      136.94   47.22                     
INDX                                700.00      376.00      323.94   46.28                     
FIX_WH                             5000.00     2701.13     2298.75   45.98                     
P_STG_SUP_EST_63                    240.00      130.00      109.94   45.81                     
P_STG_SUP_EST_74                    300.00      163.00      136.94   45.65                     
P_STG_SUP_EST_77                    300.00      164.00      135.94   45.31                     
P_OPFACT_MAX                       2000.00     1000.00      900.00   45.00                     
VBS_INDX_P61                        100.00       55.00       44.94   44.94                     
VBS_INDX_P71                        100.00       55.00       44.94   44.94                     
VBS_INDX_P68                        100.00       55.00       44.94   44.94                     
VBS_INDX_P63                        100.00       55.00       44.94   44.94                     
VBS_INDX_P64                        100.00       55.00       44.94   44.94                     
VBS_INDX_P62                        100.00       56.00       43.94   43.94                     
VBS_INDX_P67                        100.00       56.00       43.94   43.94                     
VBS_INDX_P65                        100.00       56.00       43.94   43.94                     
VBS_INDX_P66                        100.00       57.00       42.94   42.94                     
VBS_INDX_P76                        150.00       86.00       63.94   42.63                     
SALSA_STG_INDX                     8000.00     4400.00     3400.00   42.50                     
VBS_INDX_P73                        150.00       88.00       61.94   41.29                     
VBS_LINE_P74                        150.00       88.00       61.94   41.29                     
PLINDEX_002                        1800.00     1060.75      739.19   41.07                     
P_STG_SUP_EST_85                    500.00      298.00      201.94   40.39                     
P_STG_SUP_EST_86                    500.00      300.00      199.94   39.99                     
VBS_INDX_P72                        150.00       90.00       59.94   39.96                     
VBS_INDX_P70                        100.00       60.00       39.94   39.94                     
P_STG_SUP_EST_56                    160.00       97.00       62.94   39.34                     
VBS_INDX_P74                        150.00       91.00       58.94   39.29                     
VBS_INDX_P69                        100.00       61.00       38.94   38.94                     
DRSYS                               250.00      154.00       95.94   38.38                     
P_STG_SUP_EST_58                    200.00      124.00       75.94   37.97                     
VBS_INDX_P75                        150.00       93.00       56.94   37.96                     
ODM                                 150.00       95.00       54.94   36.63                     
P_STG_SUP_EST_68                    390.00      249.00      140.94   36.14                     
VBS_INDX                            750.00      480.00      269.94   35.99                     
P_ACTREP_105                       3600.00     2305.00     1294.88   35.97                     
P_ACTREP_107                       3600.00     2305.00     1294.88   35.97                     
P_WH_SUP_EST_74                     200.00      128.00       71.94   35.97                     
P_WH_SUP_EST_72                     200.00      128.00       71.94   35.97                     
P_ACTREP_106                       3600.00     2305.00     1294.88   35.97                     
WH_INDX                            5000.00     3226.00     1773.88   35.48                     
VBS_INDX_P77                        150.00       97.00       52.94   35.29                     
P_ACTREP_108                       3600.00     2369.00     1230.88   34.19                     
P_ACTREP_109                       3600.00     2369.00     1230.88   34.19                     
P_ACTREP_110                       3600.00     2369.00     1230.88   34.19                     
VBS_INDX_P78                        150.00      100.00       49.94   33.29                     
PI_ACTREPI_92                       900.00      604.00      295.94   32.88                     
PI_ACTREPI_97                       900.00      612.00      287.94   31.99                     
PI_ACTREPI_98                       900.00      612.00      287.94   31.99                     
P_STG_SUP_EST_72                    380.00      259.00      120.94   31.83                     
PI_OPFACT_67                       1100.00      754.00      345.94   31.45                     
PI_ACTREPI_99                       900.00      620.00      279.94   31.10                     
P_OPFACT_06                        1300.13      900.00      400.00   30.77                     
USERS                              5096.00     3546.00     1549.81   30.41                     
P_OPFACT_54                        2000.00     1300.00      600.00   30.00                     
XDB                                1000.00      703.00      296.94   29.69                     
P_WH_SUP_EST_49                     100.00       72.00       27.94   27.94                     
P_WH_SUP_EST_50                     100.00       72.00       27.94   27.94                     
PI_ACTREPI_91                       900.00      652.00      247.94   27.55                     
P_OPFACT_01                        1100.06      800.00      300.00   27.27                     
P_OPFACT_33                        1500.13     1100.00      400.00   26.66                     
P_STG_SUP_EST_54                    220.00      162.00       57.94   26.34                     
CWMLITE                             300.00      224.00       75.94   25.31                     
P_OPFACT_11                        1200.06      900.00      300.00   25.00                     
P_OPFACT_16                        1200.06      900.00      300.00   25.00                     
P_OPFACT_21                        1200.06      900.00      300.00   25.00                     
P_OPFACT_29                        1600.13     1200.00      400.00   25.00                     
PI_ACTREPI_93                       800.00      604.00      195.94   24.49                     
PI_ACTREPI_95                       800.00      604.00      195.94   24.49                     
PI_ACTREPI_96                       800.00      604.00      195.94   24.49                     
P_OPFACT_67                        2000.00     1514.00      485.94   24.30                     
PI_OPFACT_76                       1250.00      951.00      298.94   23.92                     
VBS_DATA                           5000.00     3818.00     1181.94   23.64                     
PI_ACTREPI_94                       800.00      612.00      187.94   23.49                     
SALSA_STAGE                       28000.00    21506.00     6493.69   23.19                     
P_OPFACT_28                        1725.00     1200.00      400.00   23.19                     
PI_OPFACT_71                       1200.00      923.00      276.94   23.08                     
PI_OPFACT_72                       1200.00      923.00      276.94   23.08                     
P_OPFACT_53                        1750.00     1300.00      400.00   22.86                     
PI_OPFACT_68                       1200.00      927.00      272.94   22.74                     
PI_OPFACT_74                       1200.00      931.00      268.94   22.41                     
PI_OPFACT_69                       1200.00      932.00      267.94   22.33                     
STAGE_INDX                         5200.00     4025.00     1125.00   21.63                     
P_OPFACT_30                        1425.13     1100.00      300.00   21.05                     
P_OPFACT_35                        1425.13     1100.00      300.00   21.05                     
P_OPFACT_38                        1425.13     1100.00      300.00   21.05                     
P_OPFACT_69                        1700.00     1345.00      354.94   20.88                     
PI_OPFACT_70                       1200.00      959.00      240.94   20.08                     
P_WH_SUP_EST_57                     120.00       96.00       23.94   19.95                     
P_WH_SUP_EST_51                     100.00       80.00       19.94   19.94                     
P_WH_SUP_EST_54                     100.00       80.00       19.94   19.94                     
P_WH_SUP_EST_56                     100.00       80.00       19.94   19.94                     
P_WH_SUP_EST_55                     100.00       80.00       19.94   19.94                     

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
Tablespace Name                    (in MB)     (in MB)     (in MB)   Space                     
------------------------------ ----------- ----------- ----------- -------                     
P_WH_SUP_EST_52                     100.00       80.00       19.94   19.94                     
P_WH_SUP_EST_53                     100.00       80.00       19.94   19.94                     
PLDATA_002                         2000.00     1603.56      396.38   19.82                     
P_OPFACT_34                        1525.13     1200.00      300.00   19.67                     
P_OPFACT_37                        1525.13     1200.00      300.00   19.67                     
P_OPFACT_39                        1525.13     1200.00      300.00   19.67                     
P_ACTREP_102                       3000.00     2410.00      589.94   19.66                     
P_ACTREP_103                       3000.00     2410.00      589.94   19.66                     
P_OPFACT_32                        1550.13     1200.00      300.00   19.35                     
P_OPFACT_31                        1575.13     1200.00      300.00   19.05                     
P_OPFACT_36                        1575.13     1200.00      300.00   19.05                     
FIX_WH_FACT                       18000.00    14550.00     3420.00   19.00                     
P_OPFACT_41                        1600.00     1200.00      300.00   18.75                     
P_OPFACT_42                        1600.00     1200.00      300.00   18.75                     
P_OPFACT_45                        1600.00     1200.00      300.00   18.75                     
P_OPFACT_44                        1600.00     1200.00      300.00   18.75                     
P_OPFACT_43                        1600.00     1200.00      300.00   18.75                     
P_OPFACT_46                        1600.06     1300.00      300.00   18.75                     
P_OPFACT_59                        1600.06     1300.00      300.00   18.75                     
P_OPFACT_65                        1600.06     1300.00      300.00   18.75                     
P_OPFACT_50                        1600.06     1300.00      300.00   18.75                     
P_OPFACT_55                        1600.06     1300.00      300.00   18.75                     
P_OPFACT_57                        1600.06     1300.00      300.00   18.75                     
P_OPFACT_56                        1601.06     1300.00      300.00   18.74                     
P_OPFACT_60                        1601.06     1300.00      300.00   18.74                     
P_OPFACT_47                        1700.00     1300.00      300.00   17.65                     
P_OPFACT_48                        1700.00     1300.00      300.00   17.65                     
P_OPFACT_62                        1700.00     1300.00      300.00   17.65                     
P_OPFACT_49                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_51                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_61                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_58                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_52                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_63                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_66                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_64                        1700.06     1400.00      300.00   17.65                     
P_OPFACT_70                        1700.00     1409.00      290.94   17.11                     
P_OPFACT_75                        1700.00     1409.00      290.94   17.11                     
P_ACTREP_104                       3600.00     2986.00      613.88   17.05                     
PI_OPFACT_73                       1300.00     1087.00      212.94   16.38                     
P_OPFACT_68                        1600.00     1345.00      254.94   15.93                     
P_OPFACT_72                        1600.00     1345.00      254.94   15.93                     
P_OPFACT_77                        1600.00     1345.00      254.94   15.93                     
P_OPFACT_74                        1600.00     1345.00      254.94   15.93                     
P_OPFACT_71                        1600.00     1345.00      254.94   15.93                     
PI_ACTREPI_81                      1300.00     1000.00      200.00   15.38                     
PI_OPFACT_75                       1100.00      931.00      168.94   15.36                     
P_WH_SUP_EST_71                     150.00      128.00       21.94   14.63                     
P_STG_SUP_EST_62                    220.00      188.00       31.94   14.52                     
PI_ACTREPI_101                     1200.00     1028.00      171.94   14.33                     
SYSTEM                              700.00      599.94      100.00   14.29                     
PI_OPFACT_77                       1100.00      943.00      156.94   14.27                     
P_WH_SUP_EST_67                     140.00      120.00       19.94   14.24                     
P_WH_SUP_EST_68                     140.00      120.00       19.94   14.24                     
P_WH_SUP_EST_63                     130.00      112.00       17.94   13.80                     
P_WH_SUP_EST_66                     130.00      112.00       17.94   13.80                     
P_WH_SUP_EST_65                     130.00      112.00       17.94   13.80                     
P_WH_SUP_EST_64                     130.00      112.00       17.94   13.80                     
PI_ACTREPI_69                      1100.00      925.00      150.00   13.64                     
PI_ACTREPI_70                      1100.00      925.00      150.00   13.64                     
P_OPFACT_76                        1700.00     1473.00      226.94   13.35                     
P_WH_SUP_EST_58                     120.00      104.00       15.94   13.28                     
P_WH_SUP_EST_62                     120.00      104.00       15.94   13.28                     
P_WH_SUP_EST_61                     120.00      104.00       15.94   13.28                     
P_WH_SUP_EST_60                     120.00      104.00       15.94   13.28                     
P_WH_SUP_EST_59                     120.00      104.00       15.94   13.28                     
FIX_STAGE                         34000.00    29609.00     4390.69   12.91                     
P_OPFACT_73                        2200.00     1921.00      278.94   12.68                     
PI_ACTREPI_26                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_29                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_27                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_28                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_30                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_32                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_41                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_40                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_39                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_38                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_37                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_36                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_35                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_34                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_33                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_59                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_57                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_56                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_55                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_54                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_53                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_52                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_51                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_50                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_71                      1000.00      850.00      125.00   12.50                     
PI_ACTREPI_49                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_48                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_47                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_46                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_45                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_44                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_43                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_42                       400.00      325.00       50.00   12.50                     
PI_ACTREPI_31                       400.00      325.00       50.00   12.50                     
SALSA_WH                          23000.00    20165.00     2834.69   12.32                     
PI_ACTREPI_58                       420.00      350.00       50.00   11.90                     
P_STG_SUP_EST_64                    220.00      194.00       25.94   11.79                     
P_OPFACT_40                        1800.00     1500.00      200.00   11.11                     
P_STG_SUP_EST_57                    190.00      169.00       20.94   11.02                     
P_OPFACT_25                        3800.00     3300.00      400.00   10.53                     
PI_ACTREPI_60                      1000.00      875.00      100.00   10.00                     
PI_ACTREPI_76                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_83                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_85                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_87                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_89                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_90                      1000.00      800.00      100.00   10.00                     

                                     Total        Used        Free                             
                                     Space       Space       Space  % Free                     
Tablespace Name                    (in MB)     (in MB)     (in MB)   Space                     
------------------------------ ----------- ----------- ----------- -------                     
PI_ACTREPI_88                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_84                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_82                      1000.00      800.00      100.00   10.00                     
PI_ACTREPI_77                      1000.06      900.00      100.00   10.00                     
P_ACTREP_01                        1000.06      900.00      100.00   10.00                     
P_ACTREP_03                        1000.06      900.00      100.00   10.00                     
P_ACTREP_05                        1000.06      900.00      100.00   10.00                     
P_ACTREP_19                        1000.06      900.00      100.00   10.00                     
P_ACTREP_18                        1000.06      900.00      100.00   10.00                     
P_ACTREP_17                        1000.06      900.00      100.00   10.00                     
P_ACTREP_16                        1000.06      900.00      100.00   10.00                     
P_ACTREP_15                        1000.06      900.00      100.00   10.00                     
P_ACTREP_14                        1000.06      900.00      100.00   10.00                     
P_ACTREP_13                        1000.06      900.00      100.00   10.00                     
P_ACTREP_12                        1000.06      900.00      100.00   10.00                     
P_ACTREP_11                        1000.06      900.00      100.00   10.00                     
P_ACTREP_10                        1000.06      900.00      100.00   10.00                     
P_ACTREP_07                        1000.06      900.00      100.00   10.00                     
P_ACTREP_06                        1000.06      900.00      100.00   10.00                     
P_ACTREP_04                        1000.06      900.00      100.00   10.00                     
P_ACTREP_02                        1000.06      900.00      100.00   10.00                     
P_ACTREP_00                        1000.06      900.00      100.00   10.00                     
PI_ACTREPI_86                      1000.06      900.00      100.00   10.00                     
P_STG_SUP_EST_52                    160.00      144.00       15.94    9.96                     
P_STG_SUP_EST_53                    160.00      144.00       15.94    9.96                     
P_STG_SUP_EST_49                    150.00      135.00       14.94    9.96                     
P_ACTREP_100                       2600.00     2346.00      253.94    9.77                     
P_STG_SUP_EST_51                    150.00      136.00       13.94    9.29                     
P_WH_SUP_EST_75                     150.00      136.00       13.94    9.29                     
P_WH_SUP_EST_77                     150.00      136.00       13.94    9.29                     
P_WH_SUP_EST_76                     150.00      136.00       13.94    9.29                     
PI_OPFACT_33                       1100.00      900.00      100.00    9.09                     
PI_OPFACT_38                       1100.00      900.00      100.00    9.09                     
PI_ACTREPI_00                       280.00      250.00       25.00    8.93                     
P_STG_SUP_EST_61                    220.00      201.00       18.94    8.61                     
PI_OPFACT_01                       1200.00     1000.00      100.00    8.33                     
P_ACTREP_25                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_24                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_23                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_22                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_21                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_20                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_09                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_08                        1200.00     1000.00      100.00    8.33                     
PI_OPFACT_50                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_49                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_48                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_47                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_46                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_45                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_44                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_43                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_42                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_41                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_40                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_39                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_37                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_36                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_35                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_34                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_32                       1200.00     1000.00      100.00    8.33                     
P_ACTREP_34                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_33                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_32                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_31                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_30                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_29                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_28                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_27                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_26                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_59                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_41                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_40                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_39                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_38                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_37                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_36                        1200.00     1000.00      100.00    8.33                     
P_ACTREP_35                        1200.00     1000.00      100.00    8.33                     
PI_OPFACT_11                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_16                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_21                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_29                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_28                       1200.00     1000.00      100.00    8.33                     
PI_OPFACT_06                       1200.00     1000.00      100.00    8.33                     
P_STG_SUP_EST_60                    210.00      193.00       16.94    8.07                     
P_ACTREP_70                        2500.00     2100.00      200.00    8.00                     
P_ACTREP_71                        2500.00     2100.00      200.00    8.00                     
P_ACTREP_73                        2500.00     2100.00      200.00    8.00                     
P_ACTREP_72                        2500.00     2100.00      200.00    8.00                     
P_STG_SUP_EST_50                    150.00      138.00       11.94    7.96                     
PI_ACTREPI_73                      1300.00     1100.00      100.00    7.69                     
